#Theta He10 He15 diff
31.1 13.0558987 12.9788867 0.077012
31.2 13.3364560 13.2589539 0.0775021
31.3 13.6153847 13.5374110 0.0779737
31.4 13.8925244 13.8140981 0.0784263
31.5 14.1677161 14.0888567 0.0788594
31.6 14.4408025 14.3615297 0.0792728
31.7 14.7116278 14.6319619 0.0796659
31.8 14.9800379 14.8999997 0.0800382
31.9 15.2458807 15.1654914 0.0803893
32.0 15.5090058 15.4282868 0.080719
32.1 15.7692649 15.6882382 0.0810267
32.2 16.0265115 15.9451996 0.0813119
32.3 16.2806014 16.1990269 0.0815745
32.4 16.5313924 16.4495785 0.0818139
32.5 16.7787446 16.6967149 0.0820297
32.6 17.0225204 16.9402987 0.0822217
32.7 17.2625844 17.1801951 0.0823893
32.8 17.4988039 17.4162714 0.0825325
32.9 17.7310484 17.6483978 0.0826506
33.0 17.9591899 17.8764465 0.0827434
33.1 18.1831034 18.1002928 0.0828106
33.2 18.4026660 18.3198142 0.0828518
33.3 18.6177579 18.5348911 0.0828668
33.4 18.8282619 18.7454067 0.0828552
33.5 19.0340637 18.9512469 0.0828168
33.6 19.2350517 19.1523004 0.0827513
33.7 19.4311173 19.3484591 0.0826582
33.8 19.6221550 19.5396173 0.0825377
33.9 19.8080620 19.7256729 0.0823891
34.0 19.9887388 19.9065265 0.0822123
34.1 20.1640890 20.0820818 0.0820072
34.2 20.3340191 20.2522456 0.0817735
34.3 20.4984391 20.4169281 0.081511
34.4 20.6572618 20.5760423 0.0812195
34.5 20.8104036 20.7295049 0.0808987
34.6 20.9577841 20.8772355 0.0805486
34.7 21.0993260 21.0191572 0.0801688
34.8 21.2349558 21.1551964 0.0797594
34.9 21.3646028 21.2852827 0.0793201
35.0 21.4882002 21.4093493 0.0788509
35.1 21.6056844 21.5273328 0.0783516
35.2 21.7169951 21.6391731 0.077822
35.3 21.8220759 21.7448137 0.0772622
35.4 21.9208735 21.8442016 0.0766719
35.5 22.0133382 21.9372870 0.0760512
35.6 22.0994240 22.0240241 0.0753999
35.7 22.1790882 22.1043702 0.074718
35.8 22.2522920 22.1782863 0.0740057
35.9 22.3189997 22.2457372 0.0732625
36.0 22.3791796 22.3066908 0.0724888
36.1 22.4328033 22.3611189 0.0716844
36.2 22.4798461 22.4089969 0.0708492
36.3 22.5202870 22.4503035 0.0699835
36.4 22.5541084 22.4850212 0.0690872
36.5 22.5812965 22.5131361 0.0681604
36.6 22.6018408 22.5346377 0.0672031
36.7 22.6157346 22.5495193 0.0662153
36.8 22.6229749 22.5577777 0.0651972
36.9 22.6235619 22.5594131 0.0641488
37.0 22.6174998 22.5544295 0.0630703
37.1 22.6047961 22.5428342 0.0619619
37.2 22.5854618 22.5246383 0.0608235
37.3 22.5595116 22.4998562 0.0596554
37.4 22.5269636 22.4685059 0.0584577
37.5 22.4878395 22.4306089 0.0572306
