#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
26 29 23.605715 25.078419 628.927100 23.671697 24.961125 623.057768 -0.065982 0.117294 5.86933	26 29 32.223874 41.573943 1728.392722 32.285743 41.383011 1712.553565 -0.061869 0.190932 15.8392
27 30 22.434504 23.457135 550.237192 22.500476 23.355029 545.457398 -0.065972 0.102106 4.77979	27 30 32.061371 41.048172 1684.952445 32.120211 40.872859 1670.590625 -0.05884 0.175313 14.3618
28 31 21.326374 21.933403 481.074168 21.391111 21.842744 477.105478 -0.064737 0.090659 3.96869	28 31 31.978178 40.762637 1661.592579 32.035579 40.600523 1648.402443 -0.057401 0.162114 13.1901
29 32 20.381507 20.644140 426.180503 20.444462 20.559407 422.689206 -0.062955 0.084733 3.4913	29 32 31.933490 40.493233 1639.701920 31.987352 40.344839 1627.706049 -0.053862 0.148394 11.9959
30 33 19.456003 19.533259 381.548217 19.517231 19.453385 378.434182 -0.061228 0.079874 3.11404	30 33 32.477090 40.891069 1672.079533 32.524626 40.739881 1659.737942 -0.047536 0.151188 12.3416
31 34 18.783466 18.589146 345.556348 18.842561 18.511495 342.675456 -0.059095 0.077651 2.88089	31 34 32.284646 39.721219 1577.775255 32.330539 39.591660 1567.499569 -0.045893 0.129559 10.2757
32 35 18.054458 17.717008 313.892385 18.111599 17.642177 311.246425 -0.057141 0.074831 2.64596	32 35 32.824592 40.021661 1601.733311 32.866583 39.891804 1591.356004 -0.041991 0.129857 10.3773
33 36 17.525691 17.023591 289.802644 17.580621 16.951603 287.356857 -0.05493 0.071988 2.44579	33 36 32.166812 39.058940 1525.600795 32.208414 38.941793 1516.463212 -0.041602 0.117147 9.13758
34 37 16.895771 16.332691 266.756800 16.948602 16.263780 264.510549 -0.052831 0.068911 2.24625	34 37 32.330905 38.457782 1479.001016 32.369062 38.349666 1470.696892 -0.038157 0.108116 8.30412
35 38 16.470497 15.760263 248.385890 16.521139 15.692950 246.268666 -0.050642 0.067313 2.11722	35 38 31.080873 37.432405 1401.184938 31.122393 37.336773 1394.034641 -0.04152 0.095632 7.1503
36 39 15.959560 15.093034 227.799685 16.008009 15.029667 225.890902 -0.048449 0.063367 1.90878	36 39 34.459510 35.739978 1277.346042 34.491241 35.669795 1272.334310 -0.031731 0.070183 5.01173
37 40 15.817910 14.664625 215.051213 15.863013 14.604273 213.284799 -0.045103 0.060352 1.76641	37 40 36.519372 38.270618 1464.640223 36.552404 38.189937 1458.471312 -0.033032 0.080681 6.16891
38 41 15.443947 14.064211 197.802035 15.485754 14.006081 196.170307 -0.041807 0.05813 1.63173	
39 42 14.930975 13.595017 184.824474 14.971552 13.540120 183.334837 -0.040577 0.054897 1.48964	
40 43 14.722087 13.151554 172.963383 14.758274 13.101431 171.647485 -0.036187 0.050123 1.3159	
41 44 14.539746 12.962122 168.016609 14.574996 12.914234 166.777451 -0.03525 0.047888 1.23916	
42 45 14.315758 12.417709 154.199493 14.347481 12.374716 153.133595 -0.031723 0.042993 1.0659	
43 46 13.842847 12.127839 147.084470 13.874325 12.086563 146.085009 -0.031478 0.041276 0.999461	
44 47 14.037866 11.990923 143.782235 14.068430 11.949735 142.796160 -0.030564 0.041188 0.986075	
45 48 14.765679 12.021446 144.515156 14.791560 11.983869 143.613108 -0.025881 0.037577 0.902048	
46 49 15.715345 11.998102 143.954451 15.730928 11.965591 143.175358 -0.015583 0.032511 0.779093	
47 50 16.098343 12.518143 156.703895 16.113758 12.487759 155.944127 -0.015415 0.030384 0.759768	
