#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
14 16 14.837420 23.991175 575.576490 14.996840 23.672624 560.393150 -0.15942 0.318551 15.1833	14 16 19.371938 32.267900 1041.217373 19.536734 32.005542 1024.354699 -0.164796 0.262358 16.8627
15 17 14.131411 23.386670 546.936327 14.282930 23.101478 533.678296 -0.151519 0.285192 13.258	15 17 19.136553 32.481600 1055.054313 19.287462 32.232374 1038.925957 -0.150909 0.249226 16.1284
16 18 13.505530 22.859661 522.564122 13.649197 22.599950 510.757735 -0.143667 0.259711 11.8064	16 18 18.852791 32.300958 1043.351913 18.994943 32.075882 1028.862221 -0.142152 0.225076 14.4897
17 19 12.957351 22.429244 503.070986 13.093773 22.190380 492.412983 -0.136422 0.238864 10.658	17 19 18.709796 32.702603 1069.460219 18.841043 32.487831 1055.459170 -0.131247 0.214772 14.001
18 20 12.256259 21.331838 455.047300 12.388751 21.126049 446.309965 -0.132492 0.205789 8.73734	18 20 18.599201 32.912026 1083.201464 18.722634 32.711271 1070.027232 -0.123433 0.200755 13.1742
19 21 11.533989 20.008920 400.356895 11.662891 19.832662 393.334490 -0.128902 0.176258 7.0224	19 21 18.387014 32.682677 1068.157369 18.503005 32.496213 1056.003829 -0.115991 0.186464 12.1535
20 22 10.951783 19.066368 363.526393 11.075530 18.906165 357.443059 -0.123747 0.160203 6.08333	20 22 18.598002 33.262373 1106.385480 18.707553 33.089166 1094.892891 -0.109551 0.173207 11.4926
21 23 10.421400 18.205571 331.442804 10.540476 18.059817 326.156992 -0.119076 0.145754 5.28581	21 23 18.180627 32.571298 1060.889472 18.283605 32.407433 1050.241694 -0.102978 0.163865 10.6478
22 24 9.963888 17.464138 304.996117 10.077981 17.329839 300.323336 -0.114093 0.134299 4.67278	22 24 18.680025 33.787360 1141.585665 18.774036 33.623519 1130.541012 -0.094011 0.163841 11.0447
23 25 9.507763 16.682075 278.291639 9.617683 16.559574 274.219487 -0.10992 0.122501 4.07215	23 25 18.200999 32.661649 1066.783296 18.291934 32.517028 1057.357107 -0.090935 0.144621 9.42619
24 26 9.117493 15.829880 250.585108 9.222761 15.719004 247.087085 -0.105268 0.110876 3.49802	24 26 19.310479 34.440722 1186.163309 19.392927 34.295041 1176.149836 -0.082448 0.145681 10.0135
25 27 8.730568 15.236178 232.141110 8.831646 15.131183 228.952714 -0.101078 0.104995 3.1884	25 27 18.527674 32.863335 1079.998793 18.607183 32.730042 1071.255622 -0.079509 0.133293 8.74317
26 28 8.407022 14.409981 207.647552 8.504039 14.317296 204.984970 -0.097017 0.092685 2.66258	26 28 18.857054 33.830109 1144.476307 18.932017 33.698755 1135.606119 -0.074963 0.131354 8.87019
27 29 7.991381 13.280713 176.377329 8.085059 13.202330 174.301521 -0.093678 0.078383 2.07581	27 29 18.767635 33.104396 1095.901005 18.839577 32.988692 1088.253794 -0.071942 0.115704 7.64721
28 30 7.753049 12.420755 154.275146 7.843335 12.349721 152.515604 -0.090286 0.071034 1.75954	28 30 19.746337 34.454454 1187.109417 19.812914 34.340868 1179.295193 -0.066577 0.113586 7.81422
29 31 7.455481 11.645970 135.628615 7.541700 11.578464 134.060827 -0.086219 0.067506 1.56779	29 31 18.935270 33.116236 1096.685061 18.998247 33.005894 1089.389064 -0.062977 0.110342 7.296
30 32 7.271271 11.181293 125.021308 7.354947 11.116735 123.581794 -0.083676 0.064558 1.43951	30 32 19.817785 34.092419 1162.293025 19.877168 33.989199 1155.265660 -0.059383 0.10322 7.02736
31 33 7.065524 10.641413 113.239670 7.145283 10.578914 111.913418 -0.079759 0.062499 1.32625	31 33 19.489751 34.108380 1163.381596 19.547346 34.009371 1156.637311 -0.057595 0.099009 6.74428
32 34 6.897673 10.305420 106.201680 6.975038 10.246071 104.981964 -0.077365 0.059349 1.21972	32 34 19.988225 33.693744 1135.268367 20.042854 33.603845 1129.218389 -0.054629 0.089899 6.04998
33 35 6.747126 9.914977 98.306761 6.821350 9.857091 97.162249 -0.074224 0.057886 1.14451	33 35 19.394904 32.955864 1086.088941 19.446194 32.866180 1080.185800 -0.05129 0.089684 5.90314
34 36 6.703315 9.770531 95.463276 6.774769 9.713944 94.360709 -0.071454 0.056587 1.10257	34 36 20.339313 32.740428 1071.935604 20.386995 32.660429 1066.703616 -0.047682 0.079999 5.23199
35 37 6.626843 9.504434 90.334260 6.694928 9.450503 89.312012 -0.068085 0.053931 1.02225	35 37 22.177427 34.584490 1196.086915 22.217404 34.499582 1190.221149 -0.039977 0.084908 5.86577
36 38 6.531859 9.395708 88.279330 6.597711 9.343532 87.301581 -0.065852 0.052176 0.977749	36 38 23.435951 33.114997 1096.602999 23.477351 33.051766 1092.419249 -0.0414 0.063231 4.18375
37 39 6.472991 9.158685 83.881520 6.536071 9.108127 82.957970 -0.06308 0.050558 0.92355	37 39 26.882866 35.365725 1250.734490 26.918663 35.306754 1246.566887 -0.035797 0.058971 4.1676
38 40 6.402437 8.992951 80.873169 6.462882 8.945069 80.014264 -0.060445 0.047882 0.858905	38 40 26.973048 35.116674 1233.180820 27.009088 35.063518 1229.450307 -0.03604 0.053156 3.73051
39 41 6.345027 8.864620 78.581488 6.402809 8.818818 77.771559 -0.057782 0.045802 0.809929	
40 42 6.582256 9.204566 84.724043 6.637340 9.160642 83.917366 -0.055084 0.043924 0.806677	
41 43 6.422767 8.988748 80.797596 6.476597 8.947143 80.051371 -0.05383 0.041605 0.746225	
42 44 6.249553 8.785055 77.177184 6.300794 8.745982 76.492202 -0.051241 0.039073 0.684982	
43 45 6.524657 9.074578 82.347967 6.572454 9.036297 81.654662 -0.047797 0.038281 0.693305	
44 46 6.771519 9.273499 85.997778 6.816208 9.238115 85.342768 -0.044689 0.035384 0.65501	
45 47 6.869192 9.175618 84.191958 6.910010 9.142257 83.580859 -0.040818 0.033361 0.611099	
46 48 7.017260 9.605127 92.258470 7.056971 9.573004 91.642397 -0.039711 0.032123 0.616073	
47 49 7.847034 10.178477 103.601394 7.884041 10.145857 102.938406 -0.037007 0.03262 0.662988	
48 50 7.607330 9.588062 91.930932 7.642179 9.566875 91.525094 -0.034849 0.021187 0.405838	
