j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
38 43 40.5 1.4301 3.1301 1.7000000000000000 10.411620167682212 1.041162E+01 3.12481
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
39 44 41.5 1.3553 3.0553 1.7000000000000000 10.164719360179092 1.016472E+01 3.05041
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
40 45 42.5 1.384 2.9840 1.6000000000000001 10.134059926802310 1.013406E+01 2.97947
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
41 46 43.5 1.316 2.9160 1.6000000000000001 9.7519807560919336 9.751981E+00 2.91176
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
42 47 44.5 1.151 2.8510 1.7000000000000000 11.566083647168300 1.156608E+01 2.84705
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
43 48 45.5 1.0889 2.7889 1.7000000000000000 11.319374612739166 1.131937E+01 2.78516
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
44 49 46.5 1.4294 2.7294 1.3000000000000000 10.988129602168184 1.098813E+01 2.7259
j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
45 50 47.5 1.3724 2.6724 1.3000000000000000 11.606665158050381 1.160667E+01 2.66911
