 -              0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
 21    1.310E+001  6.265E+000  1.319E+001  6.465E+000  1.350E+001  6.737E+000  1.394E+001  7.323E+000  1.454E+001  8.266E+000  1.530E+001  9.829E+000  1.616E+001  1.254E+001  1.716E+001  1.748E+001  1.832E+001  2.729E+001  2.010E+001  5.632E+001  2.438E+001  4.630E+002  2.347E+001  5.201E+001  1.780E+001  2.316E+001  1.485E+001  1.354E+001  1.268E+001  9.013E+000  1.090E+001  6.597E+000  9.353E+000  5.164E+000  7.975E+000  4.418E+000  6.847E+000  3.806E+000  5.909E+000  3.201E+000  5.323E+000  3.040E+000  4.350E+000  2.653E+000  4.258E+000  2.183E+000  3.595E+000  2.194E+000  3.425E+000  1.829E+000  2.872E+000
 22    6.098E+000  1.247E+001  6.105E+000  1.265E+001  6.290E+000  1.303E+001  6.621E+000  1.352E+001  7.201E+000  1.421E+001  8.125E+000  1.502E+001  9.706E+000  1.592E+001  1.239E+001  1.699E+001  1.727E+001  1.822E+001  2.711E+001  2.006E+001  5.620E+001  2.438E+001  4.636E+002  2.344E+001  5.218E+001  1.775E+001  2.344E+001  1.483E+001  1.387E+001  1.267E+001  9.304E+000  1.089E+001  6.903E+000  9.357E+000  5.546E+000  7.996E+000  4.564E+000  7.045E+000  3.899E+000  6.259E+000  3.380E+000  5.297E+000  3.353E+000  4.728E+000  2.400E+000  4.597E+000  2.484E+000  3.668E+000  1.907E+000  3.557E+000  1.909E+000
 23    1.177E+001  5.915E+000  1.191E+001  5.930E+000  1.217E+001  6.177E+000  1.258E+001  6.507E+000  1.316E+001  7.061E+000  1.390E+001  8.010E+000  1.474E+001  9.582E+000  1.571E+001  1.220E+001  1.684E+001  1.707E+001  1.812E+001  2.691E+001  1.999E+001  5.602E+001  2.430E+001  4.641E+002  2.338E+001  5.220E+001  1.775E+001  2.346E+001  1.493E+001  1.399E+001  1.281E+001  9.391E+000  1.104E+001  7.027E+000  9.452E+000  5.720E+000  8.157E+000  4.658E+000  7.170E+000  3.917E+000  6.391E+000  3.686E+000  5.214E+000  3.170E+000  5.083E+000  2.580E+000  4.389E+000  2.610E+000  4.023E+000  2.230E+000  3.558E+000
 24    5.696E+000  1.120E+001  5.725E+000  1.140E+001  5.822E+000  1.170E+001  6.062E+000  1.221E+001  6.372E+000  1.284E+001  6.952E+000  1.360E+001  7.889E+000  1.451E+001  9.395E+000  1.554E+001  1.204E+001  1.673E+001  1.696E+001  1.801E+001  2.679E+001  1.983E+001  5.594E+001  2.419E+001  4.648E+002  2.336E+001  5.260E+001  1.774E+001  2.381E+001  1.493E+001  1.430E+001  1.285E+001  9.781E+000  1.107E+001  7.269E+000  9.533E+000  5.756E+000  8.475E+000  4.824E+000  7.464E+000  4.128E+000  6.320E+000  3.969E+000  5.718E+000  2.907E+000  5.502E+000  2.937E+000  4.338E+000  2.287E+000  4.354E+000  2.359E+000
 25    1.060E+001  5.493E+000  1.069E+001  5.616E+000  1.093E+001  5.707E+000  1.132E+001  5.916E+000  1.187E+001  6.263E+000  1.252E+001  6.835E+000  1.334E+001  7.702E+000  1.430E+001  9.204E+000  1.537E+001  1.186E+001  1.656E+001  1.678E+001  1.780E+001  2.663E+001  1.964E+001  5.573E+001  2.411E+001  4.653E+002  2.340E+001  5.280E+001  1.784E+001  2.394E+001  1.501E+001  1.445E+001  1.295E+001  1.002E+001  1.112E+001  7.537E+000  9.706E+000  5.882E+000  8.580E+000  4.889E+000  7.583E+000  4.470E+000  6.233E+000  3.777E+000  6.071E+000  3.068E+000  5.297E+000  3.109E+000  4.725E+000  2.705E+000  4.382E+000
 26    5.281E+000  1.007E+001  5.388E+000  1.021E+001  5.497E+000  1.055E+001  5.561E+000  1.098E+001  5.804E+000  1.154E+001  6.147E+000  1.226E+001  6.656E+000  1.314E+001  7.555E+000  1.414E+001  9.103E+000  1.518E+001  1.176E+001  1.632E+001  1.673E+001  1.759E+001  2.673E+001  1.952E+001  5.593E+001  2.410E+001  4.662E+002  2.344E+001  5.315E+001  1.790E+001  2.433E+001  1.505E+001  1.477E+001  1.298E+001  1.009E+001  1.132E+001  7.559E+000  1.008E+001  6.138E+000  8.854E+000  5.122E+000  7.509E+000  4.699E+000  6.918E+000  3.551E+000  6.509E+000  3.479E+000  5.129E+000  2.743E+000  5.315E+000  2.904E+000
 27    9.517E+000  5.207E+000  9.583E+000  5.261E+000  9.825E+000  5.333E+000  1.019E+001  5.448E+000  1.064E+001  5.683E+000  1.126E+001  5.950E+000  1.202E+001  6.454E+000  1.293E+001  7.382E+000  1.391E+001  8.952E+000  1.489E+001  1.160E+001  1.603E+001  1.650E+001  1.739E+001  2.653E+001  1.940E+001  5.593E+001  2.410E+001  4.674E+002  2.352E+001  5.334E+001  1.794E+001  2.462E+001  1.511E+001  1.517E+001  1.307E+001  1.040E+001  1.148E+001  7.740E+000  1.016E+001  6.257E+000  8.905E+000  5.488E+000  7.458E+000  4.494E+000  7.231E+000  3.670E+000  6.344E+000  3.676E+000  5.538E+000  3.305E+000  5.400E+000
 28    5.134E+000  9.023E+000  5.085E+000  9.207E+000  5.086E+000  9.454E+000  5.215E+000  9.844E+000  5.330E+000  1.037E+001  5.496E+000  1.104E+001  5.795E+000  1.182E+001  6.340E+000  1.271E+001  7.301E+000  1.364E+001  8.957E+000  1.463E+001  1.173E+001  1.585E+001  1.669E+001  1.733E+001  2.672E+001  1.940E+001  5.611E+001  2.414E+001  4.686E+002  2.357E+001  5.371E+001  1.792E+001  2.482E+001  1.523E+001  1.509E+001  1.338E+001  1.054E+001  1.188E+001  8.046E+000  1.033E+001  6.484E+000  8.953E+000  5.627E+000  8.323E+000  4.417E+000  7.645E+000  4.132E+000  6.081E+000  3.287E+000  6.501E+000  3.556E+000
 29    8.484E+000  4.965E+000  8.643E+000  4.894E+000  8.839E+000  4.966E+000  9.113E+000  5.082E+000  9.555E+000  5.106E+000  1.010E+001  5.276E+000  1.080E+001  5.626E+000  1.156E+001  6.197E+000  1.236E+001  7.131E+000  1.330E+001  8.728E+000  1.436E+001  1.155E+001  1.563E+001  1.665E+001  1.718E+001  2.668E+001  1.936E+001  5.611E+001  2.416E+001  4.694E+002  2.360E+001  5.424E+001  1.801E+001  2.526E+001  1.538E+001  1.542E+001  1.352E+001  1.075E+001  1.191E+001  8.262E+000  1.036E+001  6.881E+000  8.965E+000  5.463E+000  8.557E+000  4.432E+000  7.565E+000  4.331E+000  6.494E+000  3.981E+000  6.665E+000
 30    4.758E+000  8.131E+000  4.739E+000  8.268E+000  4.782E+000  8.504E+000  4.835E+000  8.858E+000  4.863E+000  9.336E+000  4.914E+000  9.895E+000  5.138E+000  1.056E+001  5.566E+000  1.128E+001  6.252E+000  1.209E+001  7.285E+000  1.312E+001  8.922E+000  1.429E+001  1.174E+001  1.559E+001  1.683E+001  1.712E+001  2.693E+001  1.931E+001  5.631E+001  2.414E+001  4.700E+002  2.369E+001  5.419E+001  1.827E+001  2.529E+001  1.573E+001  1.569E+001  1.384E+001  1.103E+001  1.204E+001  8.532E+000  1.062E+001  6.942E+000  9.895E+000  5.606E+000  8.947E+000  4.909E+000  7.237E+000  3.998E+000  7.984E+000  4.269E+000
