 -              0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
 20    5.915E+000  1.409E+001  6.127E+000  1.429E+001  6.444E+000  1.461E+001  7.041E+000  1.511E+001  8.086E+000  1.571E+001  9.784E+000  1.644E+001  1.257E+001  1.731E+001  1.757E+001  1.843E+001  2.755E+001  2.019E+001  5.682E+001  2.439E+001  4.626E+002  2.343E+001  5.217E+001  1.782E+001  2.309E+001  1.483E+001  1.349E+001  1.259E+001  8.923E+000  1.076E+001  6.398E+000  9.246E+000  4.948E+000  7.890E+000  4.136E+000  6.794E+000  3.564E+000  5.896E+000  3.023E+000  5.345E+000  2.689E+000  4.522E+000  2.728E+000  4.087E+000  1.966E+000  3.942E+000  2.006E+000  3.321E+000  1.434E+000  2.996E+000  1.394E+000
 21    1.340E+001  5.787E+000  1.347E+001  5.997E+000  1.375E+001  6.317E+000  1.417E+001  6.957E+000  1.473E+001  7.983E+000  1.543E+001  9.641E+000  1.620E+001  1.243E+001  1.711E+001  1.743E+001  1.830E+001  2.733E+001  2.013E+001  5.660E+001  2.441E+001  4.631E+002  2.349E+001  5.225E+001  1.782E+001  2.316E+001  1.484E+001  1.349E+001  1.264E+001  8.925E+000  1.093E+001  6.463E+000  9.440E+000  4.988E+000  8.102E+000  4.211E+000  6.963E+000  3.610E+000  6.058E+000  3.021E+000  5.419E+000  2.891E+000  4.454E+000  2.571E+000  4.389E+000  2.109E+000  3.749E+000  2.033E+000  3.611E+000  1.697E+000  2.987E+000
 22    5.646E+000  1.274E+001  5.670E+000  1.290E+001  5.878E+000  1.329E+001  6.249E+000  1.377E+001  6.868E+000  1.442E+001  7.857E+000  1.515E+001  9.526E+000  1.596E+001  1.231E+001  1.693E+001  1.723E+001  1.819E+001  2.713E+001  2.008E+001  5.647E+001  2.440E+001  4.636E+002  2.347E+001  5.243E+001  1.778E+001  2.347E+001  1.480E+001  1.383E+001  1.262E+001  9.225E+000  1.090E+001  6.767E+000  9.437E+000  5.354E+000  8.106E+000  4.369E+000  7.181E+000  3.681E+000  6.405E+000  3.229E+000  5.404E+000  3.202E+000  4.905E+000  2.330E+000  4.769E+000  2.393E+000  3.912E+000  1.728E+000  3.689E+000  1.760E+000
 23    1.201E+001  5.517E+000  1.215E+001  5.558E+000  1.242E+001  5.818E+000  1.286E+001  6.172E+000  1.344E+001  6.748E+000  1.411E+001  7.745E+000  1.487E+001  9.416E+000  1.574E+001  1.211E+001  1.678E+001  1.701E+001  1.808E+001  2.692E+001  2.000E+001  5.628E+001  2.433E+001  4.642E+002  2.343E+001  5.247E+001  1.778E+001  2.349E+001  1.492E+001  1.396E+001  1.279E+001  9.328E+000  1.107E+001  6.886E+000  9.546E+000  5.523E+000  8.261E+000  4.449E+000  7.307E+000  3.714E+000  6.476E+000  3.499E+000  5.319E+000  3.041E+000  5.192E+000  2.501E+000  4.555E+000  2.427E+000  4.220E+000  2.076E+000  3.692E+000
 24    5.356E+000  1.141E+001  5.397E+000  1.166E+001  5.506E+000  1.198E+001  5.741E+000  1.251E+001  6.057E+000  1.311E+001  6.649E+000  1.381E+001  7.642E+000  1.464E+001  9.233E+000  1.557E+001  1.193E+001  1.665E+001  1.688E+001  1.796E+001  2.679E+001  1.986E+001  5.622E+001  2.423E+001  4.649E+002  2.339E+001  5.290E+001  1.777E+001  2.385E+001  1.492E+001  1.425E+001  1.282E+001  9.679E+000  1.111E+001  7.109E+000  9.621E+000  5.559E+000  8.598E+000  4.600E+000  7.604E+000  3.960E+000  6.422E+000  3.760E+000  5.890E+000  2.809E+000  5.683E+000  2.827E+000  4.598E+000  2.084E+000  4.504E+000  2.185E+000
 25    1.078E+001  5.233E+000  1.093E+001  5.348E+000  1.122E+001  5.430E+000  1.163E+001  5.614E+000  1.217E+001  5.953E+000  1.278E+001  6.553E+000  1.354E+001  7.460E+000  1.442E+001  9.024E+000  1.537E+001  1.173E+001  1.647E+001  1.669E+001  1.777E+001  2.663E+001  1.967E+001  5.602E+001  2.415E+001  4.655E+002  2.344E+001  5.313E+001  1.789E+001  2.401E+001  1.502E+001  1.443E+001  1.293E+001  9.926E+000  1.116E+001  7.387E+000  9.783E+000  5.677E+000  8.686E+000  4.675E+000  7.655E+000  4.252E+000  6.329E+000  3.609E+000  6.156E+000  2.970E+000  5.467E+000  2.899E+000  4.928E+000  2.532E+000  4.533E+000
 26    5.110E+000  1.031E+001  5.193E+000  1.048E+001  5.268E+000  1.085E+001  5.305E+000  1.127E+001  5.516E+000  1.182E+001  5.862E+000  1.251E+001  6.382E+000  1.332E+001  7.300E+000  1.423E+001  8.918E+000  1.517E+001  1.163E+001  1.625E+001  1.665E+001  1.757E+001  2.676E+001  1.955E+001  5.625E+001  2.414E+001  4.663E+002  2.349E+001  5.345E+001  1.794E+001  2.435E+001  1.505E+001  1.470E+001  1.296E+001  9.986E+000  1.136E+001  7.392E+000  1.016E+001  5.938E+000  8.971E+000  4.932E+000  7.610E+000  4.450E+000  7.069E+000  3.435E+000  6.691E+000  3.334E+000  5.398E+000  2.513E+000  5.483E+000  2.710E+000
 27    9.795E+000  5.089E+000  9.864E+000  5.104E+000  1.012E+001  5.123E+000  1.049E+001  5.202E+000  1.092E+001  5.419E+000  1.153E+001  5.667E+000  1.225E+001  6.160E+000  1.308E+001  7.108E+000  1.399E+001  8.745E+000  1.490E+001  1.147E+001  1.597E+001  1.643E+001  1.735E+001  2.657E+001  1.943E+001  5.628E+001  2.415E+001  4.675E+002  2.358E+001  5.369E+001  1.799E+001  2.469E+001  1.512E+001  1.512E+001  1.304E+001  1.031E+001  1.152E+001  7.561E+000  1.021E+001  6.063E+000  8.963E+000  5.255E+000  7.536E+000  4.290E+000  7.284E+000  3.543E+000  6.507E+000  3.435E+000  5.742E+000  3.113E+000  5.566E+000
 28    5.059E+000  9.347E+000  4.992E+000  9.512E+000  4.943E+000  9.747E+000  5.014E+000  1.014E+001  5.104E+000  1.064E+001  5.235E+000  1.129E+001  5.499E+000  1.202E+001  6.045E+000  1.284E+001  7.022E+000  1.374E+001  8.762E+000  1.466E+001  1.162E+001  1.581E+001  1.664E+001  1.732E+001  2.677E+001  1.945E+001  5.642E+001  2.420E+001  4.687E+002  2.363E+001  5.400E+001  1.798E+001  2.484E+001  1.524E+001  1.502E+001  1.337E+001  1.042E+001  1.190E+001  7.886E+000  1.041E+001  6.301E+000  9.057E+000  5.371E+000  8.436E+000  4.285E+000  7.815E+000  3.939E+000  6.348E+000  3.034E+000  6.691E+000  3.342E+000
 29    8.867E+000  4.917E+000  8.999E+000  4.809E+000  9.143E+000  4.828E+000  9.395E+000  4.904E+000  9.837E+000  4.881E+000  1.036E+001  4.996E+000  1.101E+001  5.318E+000  1.174E+001  5.886E+000  1.251E+001  6.856E+000  1.339E+001  8.536E+000  1.436E+001  1.144E+001  1.556E+001  1.661E+001  1.716E+001  2.676E+001  1.941E+001  5.648E+001  2.421E+001  4.696E+002  2.366E+001  5.459E+001  1.807E+001  2.533E+001  1.538E+001  1.536E+001  1.350E+001  1.063E+001  1.189E+001  8.110E+000  1.038E+001  6.666E+000  9.020E+000  5.222E+000  8.565E+000  4.283E+000  7.706E+000  4.065E+000  6.699E+000  3.768E+000  6.850E+000
 30    4.736E+000  8.525E+000  4.690E+000  8.614E+000  4.697E+000  8.796E+000  4.724E+000  9.117E+000  4.695E+000  9.581E+000  4.688E+000  1.010E+001  4.865E+000  1.075E+001  5.256E+000  1.148E+001  5.953E+000  1.227E+001  7.020E+000  1.324E+001  8.738E+000  1.434E+001  1.164E+001  1.557E+001  1.677E+001  1.712E+001  2.695E+001  1.936E+001  5.661E+001  2.421E+001  4.701E+002  2.376E+001  5.448E+001  1.833E+001  2.529E+001  1.575E+001  1.560E+001  1.380E+001  1.093E+001  1.205E+001  8.381E+000  1.072E+001  6.720E+000  9.963E+000  5.437E+000  9.081E+000  4.694E+000  7.485E+000  3.724E+000  8.195E+000  4.040E+000
 31    8.182E+000  4.472E+000  8.152E+000  4.559E+000  8.265E+000  4.553E+000  8.497E+000  4.442E+000  8.828E+000  4.426E+000  9.317E+000  4.498E+000  9.828E+000  4.688E+000  1.039E+001  5.056E+000  1.107E+001  5.704E+000  1.190E+001  6.819E+000  1.290E+001  8.656E+000  1.405E+001  1.160E+001  1.541E+001  1.681E+001  1.701E+001  2.715E+001  1.926E+001  5.705E+001  2.427E+001  4.721E+002  2.395E+001  5.502E+001  1.854E+001  2.561E+001  1.582E+001  1.600E+001  1.378E+001  1.131E+001  1.202E+001  8.732E+000  1.072E+001  6.573E+000  9.999E+000  5.305E+000  9.070E+000  4.927E+000  7.846E+000  4.471E+000  8.446E+000
 32    4.226E+000  7.789E+000  4.376E+000  7.815E+000  4.421E+000  7.984E+000  4.273E+000  8.227E+000  4.193E+000  8.570E+000  4.280E+000  9.084E+000  4.460E+000  9.593E+000  4.787E+000  1.015E+001  5.223E+000  1.088E+001  5.895E+000  1.181E+001  7.042E+000  1.290E+001  8.898E+000  1.405E+001  1.187E+001  1.536E+001  1.695E+001  1.695E+001  2.714E+001  1.927E+001  5.677E+001  2.444E+001  4.730E+002  2.429E+001  5.521E+001  1.881E+001  2.591E+001  1.607E+001  1.620E+001  1.395E+001  1.163E+001  1.260E+001  8.794E+000  1.170E+001  7.064E+000  1.050E+001  5.684E+000  8.863E+000  4.643E+000  9.984E+000  4.847E+000
 33    7.327E+000  4.165E+000  7.383E+000  4.204E+000  7.472E+000  4.103E+000  7.676E+000  4.015E+000  7.958E+000  4.008E+000  8.249E+000  4.085E+000  8.640E+000  4.236E+000  9.131E+000  4.524E+000  9.754E+000  5.003E+000  1.050E+001  5.751E+000  1.144E+001  6.942E+000  1.264E+001  8.897E+000  1.388E+001  1.201E+001  1.523E+001  1.728E+001  1.696E+001  2.751E+001  1.945E+001  5.717E+001  2.474E+001  4.744E+002  2.449E+001  5.576E+001  1.890E+001  2.643E+001  1.604E+001  1.677E+001  1.393E+001  1.190E+001  1.268E+001  8.623E+000  1.162E+001  6.784E+000  1.062E+001  6.062E+000  9.174E+000  5.401E+000  1.040E+001
 34    4.123E+000  6.927E+000  3.980E+000  7.053E+000  3.841E+000  7.187E+000  3.841E+000  7.448E+000  3.899E+000  7.760E+000  3.991E+000  8.006E+000  4.161E+000  8.374E+000  4.350E+000  8.944E+000  4.683E+000  9.707E+000  5.263E+000  1.057E+001  6.099E+000  1.147E+001  7.293E+000  1.255E+001  9.032E+000  1.374E+001  1.193E+001  1.516E+001  1.700E+001  1.698E+001  2.731E+001  1.959E+001  5.720E+001  2.491E+001  4.753E+002  2.477E+001  5.595E+001  1.912E+001  2.668E+001  1.628E+001  1.710E+001  1.480E+001  1.208E+001  1.357E+001  9.475E+000  1.210E+001  7.117E+000  1.053E+001  6.018E+000  1.206E+001  5.809E+000
