# alpha	alpha^2	B*sin(alpha)
28.100000	789.610000	19.379023
28.200000	795.240000	19.264387
28.300000	800.890000	19.156677
28.400000	806.560000	19.056147
28.500000	812.250000	18.963026
28.600000	817.960000	18.877516
28.700000	823.690000	18.799790
28.800000	829.440000	18.729993
28.900000	835.210000	18.668241
29.000000	841.000000	18.614620
29.100000	846.810000	18.569189
29.200000	852.640000	18.531973
29.300000	858.490000	18.502970
29.400000	864.360000	18.482148
29.500000	870.250000	18.469444
29.600000	876.160000	18.464767
29.700000	882.090000	18.467997
29.800000	888.040000	18.478985
29.900000	894.010000	18.497553
30.000000	900.000000	18.523497
30.100000	906.010000	18.556588
30.200000	912.040000	18.596569
30.300000	918.090000	18.643159
30.400000	924.160000	18.696054
30.500000	930.250000	18.754929
30.600000	936.360000	18.819436
30.700000	942.490000	18.889208
30.800000	948.640000	18.963860
30.900000	954.810000	19.042989
31.000000	961.000000	19.126178
31.100000	967.210000	19.212997
31.200000	973.440000	19.303000
31.300000	979.690000	19.395734
31.400000	985.960000	19.490737
31.500000	992.250000	19.587539
31.600000	998.560000	19.685664
31.700000	1004.890000	19.784633
31.800000	1011.240000	19.883966
31.900000	1017.610000	19.983183
32.000000	1024.000000	20.081803
32.100000	1030.410000	20.179352
32.200000	1036.840000	20.275359
32.300000	1043.290000	20.369362
32.400000	1049.760000	20.460905
32.500000	1056.250000	20.549544
32.600000	1062.760000	20.634846
32.700000	1069.290000	20.716394
32.800000	1075.840000	20.793782
32.900000	1082.410000	20.866623
33.000000	1089.000000	20.934547
33.100000	1095.610000	20.997204
33.200000	1102.240000	21.054264
33.300000	1108.890000	21.105419
33.400000	1115.560000	21.150381
33.500000	1122.250000	21.188889
33.600000	1128.960000	21.220705
33.700000	1135.690000	21.245617
33.800000	1142.440000	21.263438
33.900000	1149.210000	21.274010
34.000000	1156.000000	21.277198
34.100000	1162.810000	21.272899
34.200000	1169.640000	21.261036
34.300000	1176.490000	21.241560
34.400000	1183.360000	21.214451
34.500000	1190.250000	21.179717
34.600000	1197.160000	21.137394
34.700000	1204.090000	21.087546
34.800000	1211.040000	21.030264
34.900000	1218.010000	20.965668
35.000000	1225.000000	20.893903
35.100000	1232.010000	20.815141
35.200000	1239.040000	20.729579
35.300000	1246.090000	20.637439
35.400000	1253.160000	20.538965
35.500000	1260.250000	20.434427
35.600000	1267.360000	20.324114
35.700000	1274.490000	20.208336
35.800000	1281.640000	20.087423
35.900000	1288.810000	19.961722
36.000000	1296.000000	19.831599
36.100000	1303.210000	19.697432
36.200000	1310.440000	19.559616
36.300000	1317.690000	19.418556
36.400000	1324.960000	19.274669
36.500000	1332.250000	19.128381
36.600000	1339.560000	18.980125
36.700000	1346.890000	18.830341
36.800000	1354.240000	18.679474
36.900000	1361.610000	18.527969
37.000000	1369.000000	18.376274
37.100000	1376.410000	18.224836
37.200000	1383.840000	18.074101
37.300000	1391.290000	17.924508
37.400000	1398.760000	17.776492
37.500000	1406.250000	17.630483
37.600000	1413.760000	17.486898
37.700000	1421.290000	17.346146
37.800000	1428.840000	17.208626
37.900000	1436.410000	17.074719
38.000000	1444.000000	16.944797
38.100000	1451.610000	16.819212
38.200000	1459.240000	16.698299
38.300000	1466.890000	16.582378
38.400000	1474.560000	16.471745
38.500000	1482.250000	16.366678
38.600000	1489.960000	16.267434
38.700000	1497.690000	16.174245
38.800000	1505.440000	16.087322
38.900000	1513.210000	16.006851
39.000000	1521.000000	15.932994
39.100000	1528.810000	15.865886
39.200000	1536.640000	15.805640
39.300000	1544.490000	15.752339
39.400000	1552.360000	15.706043
39.500000	1560.250000	15.666785
39.600000	1568.160000	15.634570
39.700000	1576.090000	15.609378
39.800000	1584.040000	15.591164
39.900000	1592.010000	15.579856
40.000000	1600.000000	15.575356
40.100000	1608.010000	15.577541
40.200000	1616.040000	15.586265
40.300000	1624.090000	15.601357
40.400000	1632.160000	15.622622
40.500000	1640.250000	15.649845
40.600000	1648.360000	15.682786
40.700000	1656.490000	15.721189
40.800000	1664.640000	15.764774
40.900000	1672.810000	15.813245
41.000000	1681.000000	15.866289
41.100000	1689.210000	15.923577
41.200000	1697.440000	15.984763
41.300000	1705.690000	16.049491
41.400000	1713.960000	16.117391
41.500000	1722.250000	16.188082
41.600000	1730.560000	16.261175
41.700000	1738.890000	16.336274
41.800000	1747.240000	16.412976
41.900000	1755.610000	16.490874
42.000000	1764.000000	16.569556
42.100000	1772.410000	16.648612
42.200000	1780.840000	16.727629
42.300000	1789.290000	16.806198
42.400000	1797.760000	16.883913
42.500000	1806.250000	16.960370
42.600000	1814.760000	17.035175
42.700000	1823.290000	17.107940
42.800000	1831.840000	17.178286
42.900000	1840.410000	17.245845
43.000000	1849.000000	17.310260
43.100000	1857.610000	17.371190
43.200000	1866.240000	17.428305
43.300000	1874.890000	17.481293
43.400000	1883.560000	17.529858
43.500000	1892.250000	17.573723
43.600000	1900.960000	17.612628
43.700000	1909.690000	17.646335
43.800000	1918.440000	17.674626
43.900000	1927.210000	17.697303
44.000000	1936.000000	17.714192
44.100000	1944.810000	17.725142
44.200000	1953.640000	17.730022
44.300000	1962.490000	17.728730
44.400000	1971.360000	17.721184
44.500000	1980.250000	17.707327
44.600000	1989.160000	17.687128
44.700000	1998.090000	17.660578
44.800000	2007.040000	17.627694
44.900000	2016.010000	17.588518
45.000000	2025.000000	17.543115
45.100000	2034.010000	17.491573
45.200000	2043.040000	17.434005
45.300000	2052.090000	17.370545
45.400000	2061.160000	17.301353
45.500000	2070.250000	17.226606
45.600000	2079.360000	17.146504
45.700000	2088.490000	17.061268
45.800000	2097.640000	16.971136
45.900000	2106.810000	16.876367
46.000000	2116.000000	16.777234
46.100000	2125.210000	16.674029
46.200000	2134.440000	16.567057
46.300000	2143.690000	16.456638
46.400000	2152.960000	16.343103
46.500000	2162.250000	16.226796
46.600000	2171.560000	16.108069
46.700000	2180.890000	15.987284
46.800000	2190.240000	15.864810
46.900000	2199.610000	15.741020
47.000000	2209.000000	15.616293
47.100000	2218.410000	15.491010
47.200000	2227.840000	15.365553
47.300000	2237.290000	15.240305
47.400000	2246.760000	15.115645
47.500000	2256.250000	14.991952
47.600000	2265.760000	14.869599
47.700000	2275.290000	14.748952
47.800000	2284.840000	14.630371
47.900000	2294.410000	14.514207
48.000000	2304.000000	14.400801
48.100000	2313.610000	14.290482
48.200000	2323.240000	14.183568
48.300000	2332.890000	14.080362
48.400000	2342.560000	13.981152
48.500000	2352.250000	13.886212
48.600000	2361.960000	13.795797
48.700000	2371.690000	13.710144
48.800000	2381.440000	13.629472
48.900000	2391.210000	13.553982
49.000000	2401.000000	13.483853
49.100000	2410.810000	13.419242
49.200000	2420.640000	13.360287
49.300000	2430.490000	13.307103
49.400000	2440.360000	13.259781
49.500000	2450.250000	13.218393
49.600000	2460.160000	13.182986
49.700000	2470.090000	13.153582
49.800000	2480.040000	13.130184
49.900000	2490.010000	13.112769
50.000000	2500.000000	13.101293
50.100000	2510.010000	13.095688
50.200000	2520.040000	13.095865
50.300000	2530.090000	13.101711
50.400000	2540.160000	13.113093
50.500000	2550.250000	13.129857
50.600000	2560.360000	13.151829
50.700000	2570.490000	13.178814
50.800000	2580.640000	13.210600
50.900000	2590.810000	13.246956
51.000000	2601.000000	13.287635
51.100000	2611.210000	13.332371
51.200000	2621.440000	13.380887
51.300000	2631.690000	13.432890
51.400000	2641.960000	13.488074
51.500000	2652.250000	13.546123
51.600000	2662.560000	13.606709
51.700000	2672.890000	13.669495
51.800000	2683.240000	13.734139
51.900000	2693.610000	13.800289
52.000000	2704.000000	13.867590
52.100000	2714.410000	13.935683
52.200000	2724.840000	14.004208
52.300000	2735.290000	14.072801
52.400000	2745.760000	14.141103
52.500000	2756.250000	14.208752
52.600000	2766.760000	14.275393
52.700000	2777.290000	14.340675
52.800000	2787.840000	14.404252
52.900000	2798.410000	14.465786
53.000000	2809.000000	14.524949
53.100000	2819.610000	14.581419
53.200000	2830.240000	14.634890
53.300000	2840.890000	14.685066
53.400000	2851.560000	14.731664
53.500000	2862.250000	14.774416
53.600000	2872.960000	14.813070
53.700000	2883.690000	14.847391
53.800000	2894.440000	14.877159
53.900000	2905.210000	14.902175
54.000000	2916.000000	14.922258
54.100000	2926.810000	14.937245
54.200000	2937.640000	14.946997
54.300000	2948.490000	14.951392
54.400000	2959.360000	14.950331
54.500000	2970.250000	14.943737
54.600000	2981.160000	14.931554
54.700000	2992.090000	14.913749
54.800000	3003.040000	14.890309
54.900000	3014.010000	14.861246
55.000000	3025.000000	14.826592
55.100000	3036.010000	14.786403
55.200000	3047.040000	14.740754
55.300000	3058.090000	14.689746
55.400000	3069.160000	14.633495
55.500000	3080.250000	14.572144
55.600000	3091.360000	14.505851
55.700000	3102.490000	14.434795
55.800000	3113.640000	14.359175
55.900000	3124.810000	14.279208
56.000000	3136.000000	14.195125
56.100000	3147.210000	14.107177
56.200000	3158.440000	14.015627
56.300000	3169.690000	13.920756
56.400000	3180.960000	13.822855
56.500000	3192.250000	13.722227
56.600000	3203.560000	13.619188
56.700000	3214.890000	13.514062
56.800000	3226.240000	13.407182
56.900000	3237.610000	13.298889
57.000000	3249.000000	13.189526
57.100000	3260.410000	13.079446
57.200000	3271.840000	12.969001
57.300000	3283.290000	12.858546
57.400000	3294.760000	12.748437
57.500000	3306.250000	12.639029
57.600000	3317.760000	12.530673
57.700000	3329.290000	12.423718
57.800000	3340.840000	12.318509
57.900000	3352.410000	12.215381
58.000000	3364.000000	12.114665
58.100000	3375.610000	12.016682
58.200000	3387.240000	11.921743
58.300000	3398.890000	11.830147
58.400000	3410.560000	11.742180
58.500000	3422.250000	11.658118
58.600000	3433.960000	11.578218
58.700000	3445.690000	11.502725
58.800000	3457.440000	11.431866
58.900000	3469.210000	11.365850
59.000000	3481.000000	11.304868
59.100000	3492.810000	11.249095
59.200000	3504.640000	11.198683
59.300000	3516.490000	11.153765
59.400000	3528.360000	11.114454
59.500000	3540.250000	11.080842
59.600000	3552.160000	11.052998
59.700000	3564.090000	11.030973
59.800000	3576.040000	11.014791
59.900000	3588.010000	11.004459
60.000000	3600.000000	10.999959
60.100000	3612.010000	11.001252
60.200000	3624.040000	11.008278
60.300000	3636.090000	11.020954
60.400000	3648.160000	11.039178
60.500000	3660.250000	11.062824
60.600000	3672.360000	11.091750
60.700000	3684.490000	11.125789
60.800000	3696.640000	11.164759
60.900000	3708.810000	11.208459
61.000000	3721.000000	11.256668
61.100000	3733.210000	11.309150
61.200000	3745.440000	11.365653
61.300000	3757.690000	11.425909
61.400000	3769.960000	11.489637
61.500000	3782.250000	11.556543
61.600000	3794.560000	11.626319
61.700000	3806.890000	11.698651
61.800000	3819.240000	11.773210
61.900000	3831.610000	11.849663
62.000000	3844.000000	11.927668
