#jbar theta B
3 41.5 458.9154413
3 41.6 457.8395061
3 41.7 456.7627746
3 41.8 455.6852581
3 41.9 454.6069674
3 42.0 453.5279138
3 42.1 452.4481083
3 42.2 451.3675620
3 42.3 450.2862860
3 42.4 449.2042913
3 42.5 448.1215891
3 42.6 447.0381905
3 42.7 445.9541066
3 42.8 444.8693484
3 42.9 443.7839272
3 43.0 442.6978540
3 43.1 441.6111400
3 43.2 440.5237963
3 43.3 439.4358340
3 43.4 438.3472643
3 43.5 437.2580983
3 43.6 436.1683472
3 43.7 435.0780220
3 43.8 433.9871340
3 43.9 432.8956943
3 44.0 431.8037141
3 44.1 430.7112045
3 44.2 429.6181766
3 44.3 428.5246417
3 44.4 427.4306109
3 44.5 426.3360954
3 44.6 425.2411064
3 44.7 424.1456550
3 44.8 423.0497523
3 44.9 421.9534097
3 45.0 420.8566381
3 45.1 419.7594490
3 45.2 418.6618533
3 45.3 417.5638623
3 45.4 416.4654872
3 45.5 415.3667391
3 45.6 414.2676293
3 45.7 413.1681689
3 45.8 412.0683691
3 45.9 410.9682411
3 46.0 409.8677961
3 46.1 408.7670453
3 46.2 407.6659998
3 46.3 406.5646708
3 46.4 405.4630695
3 46.5 404.3612072
3 46.6 403.2590950
3 46.7 402.1567440
3 46.8 401.0541655
3 46.9 399.9513706
3 47.0 398.8483706
3 47.1 397.7451765
3 47.2 396.6417996
3 47.3 395.5382511
3 47.4 394.4345421
3 47.5 393.3306838
3 47.6 392.2266874
3 47.7 391.1225640
3 47.8 390.0183249
3 47.9 388.9139811
3 48.0 387.8095439
3 48.1 386.7050243
3 48.2 385.6004337
3 48.3 384.4957830
3 48.4 383.3910835
3 48.5 382.2863463
3 48.6 381.1815826
3 48.7 380.0768035
3 48.8 378.9720202
3 48.9 377.8672437
3 49.0 376.7624852
3 49.1 375.6577559
3 49.2 374.5530669
3 49.3 373.4484292
3 49.4 372.3438541
3 49.5 371.2393525
3 49.6 370.1349357
3 49.7 369.0306147
3 49.8 367.9264007
3 49.9 366.8223047
3 50.0 365.7183378
3 50.1 364.6145110
3 50.2 363.5108356
3 50.3 362.4073225
3 50.4 361.3039828
3 50.5 360.2008276
3 50.6 359.0978680
3 50.7 357.9951149
3 50.8 356.8925794
3 50.9 355.7902727
3 51.0 354.6882056
3 51.1 353.5863893
3 51.2 352.4848347
3 51.3 351.3835529
3 51.4 350.2825548
3 51.5 349.1818515
3 51.6 348.0814540
3 51.7 346.9813732
3 51.8 345.8816202
3 51.9 344.7822058
3 52.0 343.6831412
3 52.1 342.5844371
3 52.2 341.4861046
3 52.3 340.3881546
3 52.4 339.2905981
3 52.5 338.1934459
3 52.6 337.0967090
3 52.7 336.0003983
3 52.8 334.9045247
3 52.9 333.8090991
3 53.0 332.7141323
3 53.1 331.6196353
3 53.2 330.5256188
3 53.3 329.4320939
3 53.4 328.3390712
3 53.5 327.2465617
3 53.6 326.1545761
